2019-02-04 22:32:14,545 (7f2cd177a700) :  INFO (preferences:161) - No user preferences file exists
2019-02-04 22:32:14,545 (7f2cd177a700) :  DEBUG (preferences:198) - Saved the user preferences
2019-02-04 22:32:14,545 (7f2cd177a700) :  INFO (storeservice:495) - No beta plugins.
2019-02-04 22:32:14,548 (7f2cd177a700) :  INFO (storeservice:334) - Starting automatic update thread
2019-02-04 22:32:14,548 (7f2cd177a700) :  DEBUG (runtime:1150) - Scheduled a timed thread named 'auto_update_thread'
2019-02-04 22:32:14,548 (7f2cd177a700) :  DEBUG (storeservice:328) - Started the store service
2019-02-04 22:32:14,950 (7f2cd177a700) :  DEBUG (runtime:717) - Handling request GET /system/messaging/clear_events/com.plexapp.agents.movieposterdb
2019-02-04 22:32:14,951 (7f2cd177a700) :  DEBUG (runtime:814) - Found route matching /system/messaging/clear_events/com.plexapp.agents.movieposterdb
2019-02-04 22:32:14,951 (7f2cd177a700) :  DEBUG (runtime:924) - Response: [200] str, 0 bytes
2019-02-04 22:32:14,960 (7f2cd177a700) :  DEBUG (runtime:717) - Handling request GET /system/messaging/clear_events/com.plexapp.agents.lastfm
2019-02-04 22:32:14,961 (7f2cd177a700) :  DEBUG (runtime:814) - Found route matching /system/messaging/clear_events/com.plexapp.agents.lastfm
2019-02-04 22:32:14,962 (7f2cd177a700) :  DEBUG (runtime:924) - Response: [200] str, 0 bytes
2019-02-04 22:32:14,972 (7f2cd177a700) :  DEBUG (runtime:717) - Handling request GET /system/messaging/clear_events/com.plexapp.agents.thetvdb
2019-02-04 22:32:14,973 (7f2cd177a700) :  DEBUG (runtime:814) - Found route matching /system/messaging/clear_events/com.plexapp.agents.thetvdb
2019-02-04 22:32:14,974 (7f2cd177a700) :  DEBUG (runtime:924) - Response: [200] str, 0 bytes
2019-02-04 22:32:15,041 (7f2cd177a700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,042 (7f2cd177a700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,042 (7f2cd177a700) :  DEBUG (networking:166) - Requesting 'http://resources-cdn.plexapp.com/hashes.json'
2019-02-04 22:32:15,050 (7f2c727fc700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,051 (7f2c727fc700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,071 (7f2c737fe700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,072 (7f2c737fe700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/resourceHashes
2019-02-04 22:32:15,074 (7f2c727fc700) :  DEBUG (runtime:924) - Response: [200] str, 13276 bytes
2019-02-04 22:32:15,075 (7f2cd177a700) :  DEBUG (runtime:924) - Response: [200] str, 13276 bytes
2019-02-04 22:32:15,075 (7f2c737fe700) :  DEBUG (runtime:924) - Response: [200] str, 13276 bytes
2019-02-04 22:32:15,093 (7f2c737fe700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,093 (7f2c737fe700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,094 (7f2c737fe700) :  DEBUG (runtime:924) - Response: [200] str, 516 bytes
2019-02-04 22:32:15,095 (7f2c737fe700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,095 (7f2c737fe700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,096 (7f2c737fe700) :  DEBUG (runtime:924) - Response: [200] str, 516 bytes
2019-02-04 22:32:15,097 (7f2c737fe700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,098 (7f2c737fe700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/messaging/function/X0J1bmRsZVNlcnZpY2U6QWxsU2VydmljZXM_/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQoxCmRpY3QKMApyMAo_
2019-02-04 22:32:15,099 (7f2c737fe700) :  DEBUG (runtime:924) - Response: [200] str, 516 bytes
2019-02-04 22:32:15,110 (7f2c737fe700) :  DEBUG (runtime:717) - Handling request GET /:/plugins/com.plexapp.system/messaging/function/X0FnZW50U2VydmljZTpVcGRhdGVJbmZv/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQo2CmRpY3QKbGlzdApkaWN0Cmxpc3QKbGlzdApsaXN0CjIKczMyCmNvbS5wbGV4YXBwLmFnZW50cy5tb3ZpZXBvc3RlcmRiczEwCmlkZW50aWZpZXJyMQpzMTAKYWdlbnRfaW5mbzEKcjIKMTAKcjMKczExCm1lZGlhX3R5cGVzbnMxMgphY2NlcHRzX2Zyb21uczE0CmZhbGxiYWNrX2FnZW50cjQKczE0CmNvbnRyaWJ1dGVzX3RvcjUKczkKbGFuZ3VhZ2VzYjFzMjAKcGVyc2lzdF9zdG9yZWRfZmlsZXNpMApzNwp2ZXJzaW9uYjBzMTYKcHJpbWFyeV9wcm92aWRlcmIwczUKcHJlZnNzMTIKQ2luZU1hdGVyaWFsczQKbmFtZTEKczUKTW92aWUxCnMyMwpjb20ucGxleGFwcC5hZ2VudHMuaW1kYjEKczIKeG5yMAo_
2019-02-04 22:32:15,110 (7f2c737fe700) :  DEBUG (runtime:814) - Found route matching /:/plugins/com.plexapp.system/messaging/function/X0FnZW50U2VydmljZTpVcGRhdGVJbmZv/Y2VyZWFsMQoxCmxpc3QKMApyMAo_/Y2VyZWFsMQo2CmRpY3QKbGlzdApkaWN0Cmxpc3QKbGlzdApsaXN0CjIKczMyCmNvbS5wbGV4YXBwLmFnZW50cy5tb3ZpZXBvc3RlcmRiczEwCmlkZW50aWZpZXJyMQpzMTAKYWdlbnRfaW5mbzEKcjIKMTAKcjMKczExCm1lZGlhX3R5cGVzbnMxMgphY2NlcHRzX2Zyb21uczE0CmZhbGxiYWNrX2FnZW50cjQKczE0CmNvbnRyaWJ1dGVzX3RvcjUKczkKbGFuZ3VhZ2VzYjFzMjAKcGVyc2lzdF9zdG9yZWRfZmlsZXNpMApzNwp2ZXJzaW9uYjBzMTYKcHJpbWFyeV9wcm92aWRlcmIwczUKcHJlZnNzMTIKQ2luZU1hdGVyaWFsczQKbmFtZTEKczUKTW92aWUxCnMyMwpjb20ucGxleGFwcC5hZ2VudHMuaW1kYjEKczIKeG5yMAo_
